"req_id","source_section","requirement","status","severity","evidence","evidence_class","document","user_impact","safety_privacy_impact","proposed_owner","dependency","confidence","acceptance_test"
"V19-CMP-004","§8.4 / §16","Risk-policy-selected CTA: eligible/prescription/investigational/toxic/unknown/expired matrix with no action escape","partial","P1","Withholding is real and build-gated: 95 of 171 compounds are consumer_renderable:false and cannot be added to a plan (stAddableC/stWithheldC, site/app.js:8846-8848), and the builder discloses the withheld matches by name with a link to the full page rather than silently filtering (site/app.js:5390). Restricted-compound refusal is mirrored server-side in studio-safety.js. MISSING: there is no `review expired` state (no review date on any compound record), no `unknown interaction coverage` CTA branch on the compound page itself, and no 'Prepare pharmacist questions' route - the phrase 'pharmacist' appears 10x in site/app.js but never as a risk-policy-selected CTA.","OBSERVED FACT","code + data","For the 76 addable compounds the CTA is the same regardless of interaction coverage.","P1 SAFETY: §8.2 requires the dominant CTA to become 'Prepare pharmacist questions' when interaction coverage is UNKNOWN. Coverage is already computed (studio safety returns coverage:{checked, of}) but does not select the CTA. The known corpus gap is 77/171 compounds with unreachable interaction tags.","Integrator","interaction tag coverage","high","For each of the 6 risk states the rendered CTA matches the matrix; an unknown-coverage compound renders no self-directed add action; proven by forcing coverage to unknown."
"V19-CMP-005","§3.10 §8 / §16","Governed creator fields immutable; Suggest a change is unpublished","existing","P2","Compound field editing is closed to everyone but the maintainer: canEdit = ME && ME.role === 'admin', and a non-admin is told 'Compound pages are edited by the site maintainer. Use the Feedback button to send a correction' (site/app.js ~1080). Studio specs store only overrides, never governed values (db.js:496-560). Formulation identity, class, contraindications and stop rules are corpus-authored and build-gated.","OBSERVED FACT","code","Correct today.","Positive and structurally enforced.","none","none","high","A non-owner cannot mutate formulation, claim scope, risk tier, contraindications, interaction state, monitoring, stop rule, jurisdiction or review metadata through any endpoint; proven by direct API attempt."
"V19-CMP-006","§8.2 / §16","Neutral jurisdiction default 'Global / unspecified' inheriting no country-specific approval/access/dose/claim","contradictory","P1","There is NO jurisdiction concept: /usr/bin/grep -ac 'jurisdiction' site/app.js = 0 and server.js = 0. The default and only view is Singapore-specific - every compound carries sg_hsa_status (e.g. Creatine: 'Sold as a dietary supplement in Singapore (general sale).') and the supply chip renders it as the reason: supply.why = that same sentence. A reader in any jurisdiction is shown a Singapore access category as the unqualified default.","OBSERVED FACT","data + code","A non-Singapore reader is told how a substance is supplied in a country they are not in, with no label saying so.","P1 REGULATORY: constraint 6 (Medicines Act 1975 s.51). A Singapore access category presented globally is both wrong for the reader and the exact axis the regulatory gate exists to control. It also cuts the other way - a Singapore reader gets the correct answer today,  so any change must not lose that.","Content macro","OWNER DECISION on jurisdiction scope","high","Default view is labelled Global / unspecified and inherits no country approval, access category, dose, claim or interaction conclusion; choosing Singapore surfaces sg_hsa_status with its source and version."
"V19-NUT-001","§3.10 §16","Canonical nutrition tracking: calories/protein/carbohydrate/fat defaults plus optional reviewed nutrients, preserving unit, period, source version, privacy and contribution state","partial","P2","A real food layer exists: site/foods.js (656 foods), 52 /fuel pages, mountFuelTracker counts grams against protocol nutrient targets (site/app.js:6046), user_foods table with an approval queue (db.js:145, mountFoodQueue). MISSING: no unit/period model on the target, no database/source version on a food record, no privacy or contribution state per field.","OBSERVED FACT","code + data","Nutrition tracking works but a target cannot state its unit or period, so it cannot be migrated or versioned.","Low; contributed foods do carry an approval step,  which is the right shape.","Content macro","V19-IA-004","medium","A nutrient target round-trips unit, period, source version, privacy and contribution state with no silent loss."
"V19-TOOL-001","§3.10 §16","Governed tool action: trigger, completion rule, collected data/retention, substitution and commercial eligibility persist; tool use cannot bypass action or Marketplace policy","partial","P2","PLAN_FUNCTIONS is a real tool layer (kind 'fn' in the Studio spec, db.js:496 comment; renderPlanFunctions site/app.js:5447; mountPlanFunctions). Each tool has a target (e.g. {k:'fn',id:'walk',target:15}). MISSING: no declared trigger/moment, no completion rule, no data-collected/retention declaration, no substitution rules, no commercial-eligibility field.","OBSERVED FACT","code","Tools work but their data-retention story is undeclared, which is a PDPA-relevant omission.","MEDIUM PRIVACY: a tool that collects data with no declared retention is the gap §3.10 is written to close.","Content macro","none","medium","Each tool declares trigger, completion rule, data collected, retention and substitution; a tool completion never grants a Marketplace or action entitlement."
"V19-PRI-001","§9 / §16","Public allowlist: forbidden-field leak tests pass across HTML, JSON, URLs, metadata, analytics and caches","partial","P1","Strong existing controls: /me and /u/<handle> both send X-Robots-Tag: noindex, nofollow (server.js:3048) AND a matching meta robots (verified by curl); the public profile renderer is build-gated by assertProfileDisclosesOnlyPublished(); /u/<handle> <title> is the handle ALONE with a written rationale against naming protocols in a share card (site/app.js:9668); /solve?q= is never logged and carries X-Robots-Tag noindex,follow (server.js:52-72). GAP: /plan - the personal daily plan - is served with meta robots 'index,follow,max-image-preview:large' and IS listed in site/sitemap.xml (<loc>https://rnawiki.com/plan</loc>), contradicting §13 'Today ... never indexable'. Mitigating fact, measured: the plan is localStorage-only, so the crawlable document contains no personal data today.","OBSERVED FACT","prerendered + headers + code","No leak today. The indexable /plan is a latent one: the moment any server-rendered plan content appears, it is index-eligible and sitemap-listed.","P1 PRIVACY (latent,  not active). Downgrade to P2 only after the sitemap entry and index directive are corrected.","Integrator","none","high","/plan and /progress carry noindex and are absent from sitemap.xml; a forbidden-field leak test over every public route's HTML, JSON, canonical, OG, JSON-LD and server log finds zero §9.2 fields."
"V19-PRI-002","§9 / §16","No retroactive exposure: legacy profiles/enrollments stay private until explicit migration confirmation","existing","P2","Nothing about an account is public except protocols that account deliberately published; there is no enrollment projection to expose (site/app.js:8875-8884). db.js:562-588 records the deliberate absence of an is_demo column so no fabricated row can exist.","OBSERVED FACT","code","Correct today by construction.","Positive. Any Active Journey work (V19-PRO-001) must add an explicit migration confirmation before this can regress.","Content macro","V19-PRO-001","high","An account created before the change renders zero public enrollment fields until it confirms migration."
"V19-PRI-003","§9 (earlier PRD)","Account deletion immediately removes the public projection and queues index/cache removal","absent","P0","There is NO account deletion. The only deletion path is DELETE /api/mydata whose own comment reads 'erase research data, keep the account + their tracker' (server.js:1402) and which deletes only outcome_checkins, blood_markers, wearable_daily, user_profile and withdraws consent (server.js:1403-1409). The UI button is labelled 'Delete my research data' with confirm text 'Your account and tracker stay.' (site/app.js:5616, 5641). users has ON DELETE CASCADE children but no route deletes a users row. A published protocol can be withdrawn (server.js:1868) but the account and its /u/<handle> projection cannot be removed.","OBSERVED FACT","code","A user cannot leave. Their handle, published protocols and account persist with no self-service removal.","P0 PRIVACY: PDPA gives a right to withdraw consent to the collection/use of personal data; the product offers partial erasure only and its own copy tells the user the account stays. This is the single clearest legal exposure in the matrix.","Integrator","named human gate","high","DELETE /api/account removes or irreversibly anonymises the users row and every child row, immediately 404s /u/<handle>, and queues index/cache removal; proven by deleting a seeded account and re-fetching every surface that referenced it."
"V19-A11Y-001","§10 / §16","WCAG 2.2 AA: keyboard, screen reader, focus, contrast, 200/400% zoom, reduced motion, 44px targets","partial","P1","Substantial prior work is real and should be credited: skip link present on every probed route (hasSkipLink true), lang=en, reduced-motion honoured (initGpScroll site/app.js checks prefers-reduced-motion), pill contrast and .pos-stars accessible names remediated (tasks #13,#14), a live region #route-status announces Studio reorders. MEASURED FAILURE: at 1440x900 on / there are 24 interactive elements below 44x44 CSS px, including the entire primary nav - 'Solve' 39x24, 'Where it hurts' 95x24, 'My Plan' 53x24, 'Learn' 38x24 - plus four 19x29 heading-anchor '#' links.","OBSERVED FACT","hydrated","Primary navigation fails the target-size requirement at desktop width.","MEDIUM ACCESSIBILITY: motor-impaired users and the cognitive-accessibility cohort §10 names are the ones this hits.","UX macro","none","high","Zero interactive elements below 44x44 at 1024/1280/1440/1728 and at 200% zoom; automated sweep over all 52 smoke page types reports 0."
"V19-A11Y-002","§15 §16","Semantic prototype index: valid heading/paragraph structure, decorative arrows aria-hidden, meaningful link names, no block content inside span wrappers","partial","P3","This is a requirement on the v1.9 PROTOTYPE files, not the repo. In-repo equivalent measured: every probed route has exactly one h1 and ordered headings (/c/creatine 20 headings h1>h2>h3; /problem/knee-pain h1>h2>h3). Not verified: aria-hidden on decorative arrows across the site.","OBSERVED FACT","hydrated","Low.","none","UX macro","none","medium","Automated structure review over the prototype index and every public page: one meaningful h1, ordered headings, named landmarks, labelled controls, link purpose out of context."
"V19-AUTH-001","§2.4 §16","Role separation: participant read, owner mutation, scoped-manager mutation independently enforced server-side; no inert production nav","partial","P2","One universal account type is real and BUILD-GATED - assertOneAccountType (build/parse.js:3417-3448) fails the build on 11 banned patterns including domain_verified, verified-expert, addBadge(, /api/steward and any account-level `domain`. Owner mutation is enforced server-side (studio withdraw: 'WHERE code=$1 AND user_id=$2', server.js:1868). ABSENT: there is no scoped-manager role at all, so §5.4 'Helps manage' has no permission record.","OBSERVED FACT","code","An owner cannot delegate management, which the v1.9 Profile assumes.","Positive: the gate makes accidental reintroduction of a second tier a build failure.","Integrator","V19-PRO-003","high","A scoped manager can perform exactly the granted mutations and no others, checked server-side; a participant token is refused on every mutation route."
"V19-SEO-001","§2.5 §16","Canonical semantic index: typed ID/version index carrying form/outcome/risk/review/jurisdiction/source; cannot override authored safety or exact-form rules","partial","P2","A real typed index exists for search: SOLVE_INDEX with server-side searchSolve() (server.js:2634-2660) and a client catalogSearch over compounds/exercises/foods/functions. It carries id, name and category. It does NOT carry version, outcome scope, risk state, review state, jurisdiction, source version or public-index eligibility. Correctly, search CANNOT override safety: the restricted set is filtered by consumer_renderable and the withheld names are still disclosed (site/app.js:5390).","OBSERVED FACT","code","Search cannot rank by risk or review state.","Positive on the override rule; the missing axes are what a risk-aware Add flow needs.","Content macro","V19-IA-004","high","Every indexed record carries all §2.5 axes; a semantic ranking experiment cannot surface a restricted or review-expired block into the Add flow."
"V19-SEO-002","§13.1 §16","Exact metadata templates for Profile, Protocol, Exercise, Stretch, Supplement; ongoing duration and missing data never produce invented copy","partial","P1","Compound and protocol metadata are real and generated (site/head.js keys: 1281 /compare, 171 /c, 103 /target, 52 /protocol, 52 /fuel, 41 /problem, 17 /muscle, 16 /pathway, 16 /goal, 5 /learn, 4 /physiology, 3 /energy, 1 /body). MEASURED DEFECT: site/head.js contains ZERO '/exercise/' keys and site/app.js's head branch (lines 9605-9668) has no `exercise` case, so all 873 exercise and stretch pages hydrate with the SITE DEFAULT title. Probe of /exercise/Barbell_Squat, hydrated: title = 'RNAwiki - translate the code of human performance into real results', metaDesc = the generic site description, while h1 = 'Barbell Squat' and canonical = https://rnawiki.com/exercise/Barbell_Squat. The templates themselves do not match §13.1 wording on any page type.","OBSERVED FACT","hydrated + code","873 pages are indistinguishable in a browser tab, a bookmark, a share card and a search result. The site's own smoke gate is documented as failing any route that ends hydration on the shell title (site/app.js:9663) - these 873 routes are not in that gate's route set.","none","Content macro","none","high","Every exercise/stretch route hydrates to the §13.1 title and description built from reviewed fields; the shell-title smoke gate covers all 873 routes and is proven by reintroducing the missing head branch."
"V19-SEO-003","§13.2 §16","Index/canonical quality gate: thin/untrusted/expired/duplicate noindex; material pages self-canonicalize; private pages out of sitemap","partial","P2","Correct: real HTTP 404 with recovery links and X-Robots-Tag noindex (server.js:3070-3080), soft-404 explicitly closed with the measurement that motivated it (server.js:3054-3066); /me, /u/*, /studio all noindex,nofollow; canonicals are absolute and self-consistent (probe: /studio canonical https://rnawiki.com/studio, /c/creatine canonical https://rnawiki.com/c/creatine-monohydrate). GAPS: /plan is index,follow AND in the sitemap (see V19-PRI-001); site/sitemap.xml has 568 <loc> entries and ZERO /exercise/ URLs, so 873 real pages are excluded while a private one is included. There is no thin/duplicate/review-expired noindex rule.","OBSERVED FACT","prerendered + headers","The sitemap is inverted in two places at once.","See V19-PRI-001.","Integrator","V19-SEO-002","high","Sitemap membership equals index-eligibility: /plan and /progress out, the 873 exercise pages in (once V19-SEO-002 lands); a thin or review-expired page emits noindex,follow."
"V19-SEO-004","§13.3 §16","Structured data: ProfilePage/Person-or-Organization, WebPage/BreadcrumbList, conditional discussion schema, rel=ugc nofollow/sponsored; no private fields","partial","P2","Measured in built HTML: site/c/creatine-monohydrate.html carries MedicalWebPage, BreadcrumbList, Drug, FAQPage (4 Question/4 Answer); site/protocol/*/*.html carries MedicalWebPage + BreadcrumbList; site/home.html carries WebSite, Organization, SearchAction, EntryPoint, BreadcrumbList. ABSENT: no ProfilePage or Person on /u/<handle> (consistent with it being noindex), no QAPage anywhere (correct - there is no public discussion), and rel='ugc nofollow' is untested because there is no user-supplied external link surface.","OBSERVED FACT","prerendered","Adequate for what is public today.","Positive: no discussion schema over a non-existent discussion is exactly right.","Content macro","V19-COM-001","high","Representative pages validate in schema tooling; identifiers resolve to the same canonical record/version; no §9.2 field appears in any JSON-LD."
"V19-SEO-005","§13.4 §16","Sitemap lastmod changes only on material update, XML MIME, real 404, forbidden-field leak tests across metadata/OG/schema/URLs/cache","partial","P2","Material-lastmod discipline is real: build/lastmod.json exists as the source of truth and a prior defect ('JSON-LD dateModified re-stamps to the build date on 41 pages', task #21) was already fixed. Real 404 confirmed (server.js:3070). NOT verified in this pass: the sitemap MIME type as served, and a full forbidden-field sweep over cached public HTML.","OBSERVED FACT","code + prerendered","Low.","Leak sweep is the remaining unknown.","Integrator","V19-PRI-001","medium","lastmod moves only on a content/review/regulatory change; sitemap serves application/xml; leak sweep over metadata, OG, JSON-LD, URLs, logs and cached HTML returns zero §9.2 fields."
"V19-PERF-001","§16","p75 LCP <=2.5s, INP <=200ms, CLS <=0.1; editor/wiki code route-loaded","partial","P1","MEASURED at localhost with curl: site/data.js is 11,874,630 B identity-encoded and 2,412,320 B brotli-encoded; brotli IS negotiated (Content-Encoding: br) and an ETag is present, correcting the W0 baseline erratum that said neither. site/app.js is 899,877 B identity / 232,948 B brotli. Nothing is route-split: one 11.6 MB corpus and one 900 KB single-IIFE app.js load on every route including the landing page. No CWV measurement was run in this pass.","OBSERVED FACT","prerendered/headers","Every visitor downloads the entire 171-compound + 873-exercise + 656-food corpus to read one page.","none","Integrator","none","high","Field or lab p75 LCP <=2.5s / INP <=200ms / CLS <=0.1 on the landing, a compound page and the builder; the corpus is split so a first view transfers well under 1 MB."
"V19-GOV-001","§14 §16","No agent-only risky release: youth, payment, services, indexing, public migration and deployment require named human gates","partial","P1","Strong build-time gates exist and are the right pattern: 54 assert* functions across build/parse.js and build/prerender.js, including assertOneAccountType, assertLinkGraph, assertDoseCalculators, assertRegulatoryAxes, assertProfileDisclosesOnlyPublished, assertStudioSafetyMirrorsBuildGates. These are MACHINE gates. There is no NAMED HUMAN gate artefact - no owners file, no approval record - for the six §14 categories, and no youth-signup flag to hold disabled (there is no age gate at all).","OBSERVED FACT","code","Nothing today can activate payment or youth signup because neither exists - the risk is that they arrive without a gate.","P1 GOVERNANCE: §14 names Product,  Clinical,  Pharmacy,  Privacy/Legal,  payments,  CX and anti-abuse owners as required approvers. None are recorded.","OWNER","Felix must name the humans","high","A committed OWNERS/gates file names a human per §14 category; the build refuses to enable any of the six without a matching approval record."
"V19-GOV-002","§14 §16","Paid-access boundary: 10-completion threshold grants no entitlement; evidence/suitability/stopping/urgent/safety stay free; Discussion/Boost paid status unresolved","existing","P2","Constraint 1 holds today: no paywall, no payment code, no affiliate link. /usr/bin/grep -ac 'stripe\|checkout\|paywall' site/app.js = 0. Everything safety-relevant is free and anonymous-first (constraint 3): /plan, /solve, /studio and every compound page work with no account.","OBSERVED FACT","code","Correct today.","Positive. §14 explicitly says an implementation agent cannot decide whether Discussion or Boost may ever be paid - flag as OWNER-only.","OWNER","V19-GOV-001","high","No route gates evidence, suitability, stop rules, urgent help or safety information behind an account or payment."
"V19-VOCAB-001","§1.1 §3.3 + LOCKED MENTAL MODEL","The creator-facing card says 'Possible reason · not a diagnosis' and is NEVER a diagnosis, proven root cause, or confirmed explanation","contradictory","P0","The live site asserts causation in its own headings. build/prerender.js:1327 emits '<h2>What's actually causing this - the {n} common causes in full</h2>' and build/prerender.js:1325 emits '<h3>Cause {rank}: {name}</h3>'. Measured: 41 of 41 files under site/problem/ contain the string 'actually causing this'; confirmed hydrated on /problem/knee-pain (H2 'What's actually causing this - the 6 common causes in full', H3s 'Cause 1: Hip & quad weakness with patellofemoral pain' ... 'Cause 6: Meniscal / structural injury'). The phrase 'Possible reason' appears 0 times in site/app.js; 'not a diagnosis' appears only twice, both as assessment disclaimers (site/app.js:1385, 1464).","OBSERVED FACT","hydrated + prerendered","A reader with knee pain is told what is ACTUALLY causing it, by name, ranked, with no per-card 'not a diagnosis' qualifier. That is the single most load-bearing sentence on the highest-traffic page type.","P0 SAFETY/CLINICAL: this is the exact claim the locked mental model forbids. It is also the strongest regulatory-adjacent statement on the site - naming a confirmed cause is the boundary between education and diagnosis. The safety-route section ('First - when this is not a self-care problem') is present on all 41 pages and partially mitigates,  but does not qualify the causal claim.","Content macro","none - fixable now","high","No public page asserts a confirmed cause. Every possible-reason card carries 'Possible reason · not a diagnosis'. A build gate fails on the strings 'actually causing', 'Cause N:', 'root cause of your' in any rendered heading, proven by reintroducing the current heading."
"V19-OWN-001","OWNER DECISION 2026-08-11","Remove the collection-of-interest feature entirely","partial","P2","REMOVAL SCOPE, verified: the form is off the landing page (/usr/bin/grep -c 'api/interest' site/home.html = 0; 'istate-' = 0) and /interest 301s to / (curl: 301 -> /). STILL PRESENT: POST /api/interest is live (curl POST returns 403 origin-check, not 404) and writes 'INSERT INTO interest_signups(email, topic, topic_other, creator, remove_token)' at server.js:1079; POST /api/interest/remove at server.js:1102; table interest_signups + idx_interest_created at db.js:342-351; INTEREST_TOPICS loaded at boot from data/site_config.json (server.js:947, 2835, 2857) and the ?state= answer handler at server.js:2704-2751; the site_config.json interest block still carries the nine chips and their write schema.","OBSERVED FACT","code + prerendered + headers","No user-facing exposure remains. What remains is a live email-collecting endpoint and a table of already-collected emails.","P1 PRIVACY: an email-collection endpoint that no UI reaches,  with rows nobody will act on,  is retained personal data with no purpose - PDPA purpose-limitation. Deleting the table also destroys any emails already collected; the owner must decide export-then-drop vs drop.","Integrator","OWNER DECISION on existing rows","high","POST /api/interest and /api/interest/remove return 404; interest_signups is dropped after an explicit owner-approved export; INTEREST_TOPICS, the ?state= handler and the site_config interest block are removed; the boot log line disappears; server boots and /, /solve, /plan still render."
"V19-OWN-002","OWNER DECISION 2026-08-11","Everyone with an account can build protocols. One universal account type.","existing","P3","Build-gated by assertOneAccountType (build/parse.js:3417-3448), 11 banned patterns, fails the build. The Studio needs no account at all: 'No account needed to build, keep or run it' (site/app.js:9654) and the draft lives in localStorage (site/app.js:8820).","OBSERVED FACT","code","Already correct, and stronger than the decision requires (anonymous build works).","Positive; also satisfies constraint 3.","none","none","high","Any account, and no account, can reach the builder and save a draft; no route checks a tier."
"V19-OWN-003","OWNER DECISION 2026-08-11","A user has ONE main protocol and may start a MAXIMUM OF TWO more","absent","P2","No cap and no main/secondary distinction. plan.protocols is an unbounded array (site/app.js:130-135, coercePlan filters shape only, no length check); /usr/bin/grep -an 'protocols.length >' site/app.js finds no cap; the Plan tab offers an unconditional '<a class=tpm-add href=#/solve>+ Add another goal</a>' (site/app.js ~6030). db.js:399 comment says 'one active plan per account' but that plan holds N protocols.","OBSERVED FACT","code","A user can stack unlimited protocols, which is exactly the diffusion the cap exists to prevent - and the more protocols stacked, the more compounds merge into one daily list.","MEDIUM SAFETY: an uncapped stack multiplies the merged supplement list that the interaction panel then has to cover.","Integrator","none","high","A 4th start is refused with copy naming the main protocol and the two others; the main protocol is distinguishable in the data and in the UI; the cap is enforced server-side as well as client-side."
"V19-OWN-004","OWNER DECISION 2026-08-11","Started protocols STACK onto one 'my protocol' page - supplements, workouts, stretches in one simple seamless view","existing","P2","Already built and is the plan's v2 shape: '{v:2, protocols:[...]} - ONE plan holds every protocol the user runs, merged into one daily experience' (site/app.js:130-133). renderPlanTracking (site/app.js:5953) calls mergedPlan(plan) and renders merged layers: LAYERS = [['Move','move',todayMoves,moveRow], ['Stack','stack',M.supps,suppRow]] with a Fuel tab and a Tools tab; subtitle names all protocols when multi. Measured deliberate choices: layer order Move then Stack is justified against /about, and Fuel is not duplicated because it has its own tracker.","OBSERVED FACT","code","The owner's decision is already shipped. What is missing is only the cap (V19-OWN-003) and per-protocol relationships (V19-BLD-008).","Positive.","none","none","high","Two started protocols render one merged Move list, one merged Stack list and one Fuel tracker with no duplicate rows; already passing."
"V19-OWN-005","OWNER DECISION 2026-08-11","If drugs overlap, warn, and let the user remove/edit their plan","partial","P1","The cross-protocol check EXISTS: renderPlanTracking computes `const danger = M.supps.length > 1 ? interactionPanel(M.supps) : ''` over the MERGED supplement list (site/app.js ~6018), so an interaction created by stacking two protocols is detected. interactionPanel also computes pathway overlap in-place with an explicit 'the same effect delivered twice, which is how side-effects add up without the dose on the label going up' explanation (site/app.js:3444-3473). Edit and Remove controls exist per protocol (data-edit-proto / data-remove-proto, site/app.js ~6027). GAPS: (a) the warning is rendered INSIDE a collapsed <details> labelled 'Interaction & safety check ... tap to view' (site/app.js ~6032), so it is hidden by default; (b) there is no warning AT THE MOMENT of starting the second protocol - it only appears afterwards on the plan page; (c) DUPLICATE compounds across two protocols are not called out as duplicates - the merged list simply contains the item once or twice depending on mergedPlan's dedup.","OBSERVED FACT","code","The user is warned, but only if they open a collapsed panel on a later visit, and never at the decision point.","P1 SAFETY: this is the owner's own named risk. A hidden warning over a real drug overlap is the 'painted lock' defect class this repo has already fixed twice elsewhere.","Integrator","V19-OWN-003","high","Starting a protocol whose stack overlaps an existing one shows the overlap BEFORE the start is committed, expanded not collapsed, naming the exact duplicated compounds, with Remove and Edit inline; proven with a seeded overlapping pair."
"V19-OWN-006","OWNER DECISION 2026-08-11","Users get access to the Community for the protocols they started","blocked","P1","There is no Community to grant access to (V19-COM-001): /community 404, renderComments() is a no-op (site/app.js:1042), 0 client callers of /api/explain.","OBSERVED FACT","code + prerendered","The decision cannot be implemented until a Community surface exists.","Entitlement must be derived from a started protocol server-side,  and comment identity must not project health state without consent (V19-DIS-001).","Content macro","V19-COM-001","high","An account that started protocol X can post in X's Discussion and cannot post in Y's; enforcement is server-side."
"V19-OWN-007","OWNER DECISION 2026-08-11","New landing: 'the current healthcare is accessible for all but effective for none', full revamp with diagrams and illustrations, keeping the protocol search bar","absent","P2","Current hydrated h1 on / is 'Turned away, priced out, or told it was nothing.' (site/home.html). /usr/bin/grep -c 'effective for none' over site/home.html, build/prerender.js and build/landing.js = 0,0,0. The search bar the decision preserves already exists as a real no-JS <form action='/solve' method='get'> with a server-rendered result path (server.js:2634-2660) - that is the piece not to break.","OBSERVED FACT","hydrated + code","The landing does not carry the owner's headline.","Low,  but the headline is a claim about healthcare generally and should be framed as the site's position rather than a fact.","UX macro","OWNER copy approval","high","The hydrated / renders the approved headline; the no-JS /solve?q= path still returns filtered results with the query echoed; the geometry gate passes at 390 and 1440."
"V19-SAFE-001","earlier PRD SAFETY contract","Animal-only evidence capped at 2 stars and labelled 'animal'; unbound evidence claims refuse the build; dose calculators capped","existing","P2","Build-gated: parse.js/prerender.js refuse to build on unbound evidence claims, uncapped dose calculators, animal-only stars >2, missing goal taxonomy, a prescription substance with no status, and JSON-LD without @context (AGENT_RULES 'Build & verification'). 54 assert* functions counted across the two build files.","OBSERVED FACT","code","Correct.","Positive - this is the strongest safety machinery in the repo and the pattern every gap above should adopt.","none","none","high","Reintroduce an animal-only 3-star record and the build must fail."
"V19-SAFE-002","earlier PRD SAFETY contract","Restricted / high-risk compounds are withheld from the builder with an honest disclosure, and the refusal is mirrored server-side","existing","P1","Measured: 95 of 171 compounds are consumer_renderable:false; the Add sheet counts only the 76 addable and discloses the rest in words (site/app.js:8843-8848); the search path renders the withheld names with links even when there are zero addable hits, with the authored rationale 'a plan builder is just not the place to hand out a dose for it' (site/app.js:5390). studio-safety.js (337 lines) mirrors all five build gates server-side and assertStudioSafetyMirrorsBuildGates() fails the build if they drift. POST /api/protocols/check returns refusals for restricted-substance and danger-interaction at publish, and correctly returns ok:true with warns for a private draft - the client reads warn/refusals and never ok (site/app.js:8799-8809).","OBSERVED FACT","code + data","Correct, and the silent-filter defect is explicitly avoided.","Positive. This is the model for V19-CMP-004's missing unknown-coverage branch.","none","none","high","A restricted compound cannot be added; the withheld disclosure names it; the server refuses the same publish independently of the client."
"V19-SAFE-003","earlier PRD SAFETY contract","Every protocol carries a stop rule and a named metric","existing","P2","W0 BASELINE corrected the brief here: 52/52 protocols state a stop rule and 50/52 name a metric (the brief's '0 of 52' measured collapsed <details>). The real, smaller finding recorded there is that neither is STRUCTURED - they are prose, so nothing can gate or surface them.","OBSERVED FACT","hydrated (W0 baseline)","A stop rule exists but cannot be lifted into the Today surface or the wiki record because it is not a field.","MEDIUM: an unstructured stop rule cannot be rendered in the §6.2 first viewport or enforced by V19-EXE-002's stop-route override.","Content macro","none","high","Every protocol exposes stop_rule and metric as structured fields; a build gate fails on a protocol missing either; the first viewport of a linked wiki record can render the stop line from the field."
"V19-STATE-001","§11","Every surface defines loading, empty, no-match, offline, invalid-route/real-404, permission-denied, review-expired, unsafe-blocked, unknown-coverage, stale-version, save-conflict, delete/withdrawal, success, context-expired, moderation-hold, payment states","partial","P2","PRESENT and real: loading (studioLoading/planLoading/profileLoading/meLoading), empty (emptyPlan, 'Nobody has started it yet'), no-match ('Nothing is named this - these mention X', server.js:2648; 'No matches - try another name'), real 404 (server.js:3070), unsafe-blocked (refusals), withdrawal (server.js:1868), success (toast), engine-down ('a 503 studioDown() body carries the sentence a reader has to be shown', site/app.js:779), and an explicit unknown-coverage concept in the safety payload (coverage:{checked,of} with the note that 'an empty warn over 0 checked compounds is not a clearance'). ABSENT: offline, permission-denied, review-expired, stale-version, save-conflict, context-expired, moderation-hold.","OBSERVED FACT","code","Seven of sixteen required states have no implementation anywhere.","MEDIUM: save-conflict and stale-version are the two whose absence can silently lose or stale user data (see V19-BLD-012).","Integrator","V19-BLD-012","high","Each of the sixteen states is reachable and renders what happened, what was preserved and one safe next action; enumerated per surface in a states matrix."
"V19-MEAS-001","§12","Privacy-preserving instrumentation for the 13 named event families; no raw symptoms, medicine names, assessment answers, prescription values or free-text health content to general analytics","partial","P2","Discipline is real: the /solve query 'is never logged and never reaches analytics - it is a symptom description typed by a stranger' (server.js:2632); Cloudflare Web Analytics is cookieless and is the only analytics origin allowed by CSP (server.js:3095-3099). But most §12 event families do not exist because the surfaces do not (builder next-task, publish repair, wiki-to-context return, discussion, Credits, avatar). W1 instrumentation was completed for the surfaces that do exist.","OBSERVED FACT","code","Cannot measure the north star ('weekly returning informed participants in public Core Protocols') because there are no public Core Protocols.","Positive on the exclusion rule; it must survive the new surfaces.","Integrator","V19-COM-001","medium","Each of the 13 families emits an event; a payload sweep proves zero symptom, medicine, assessment-answer or prescription values reach analytics."
"V19-DOC-001","§15 + supplied audits","v1.9 prototypes are prototypes only; no production deployment, migration, indexing change, payment activation or safety-policy change is authorized","existing","P3","Nothing from the v1.9 prototype pack is present in the repo (verified: 0 occurrences of Champion, Credits, Avatar, Marketplace, Money Tree, Community Boost, Tidy map, Fit view, List view, Possible reason, Add to Considering, Active Journey, Coaching Core in site/app.js or server.js). Branch refine/site-wide-2026-08 is clean except this audit/ directory.","OBSERVED FACT","code + git","No unauthorized v1.9 code has shipped.","Positive.","none","none","high","git status shows no product-code change from any v1.9 assessment agent."
