page_a,page_b,first_pass_reason,second_verdict,second_evidence,confidence,classification,reach,tier,licence_ground,resolved_page_b,page_b_source,name_a,name_b,exception_classes,corpus_confirms,existing_relations,first_pass_actions
K1:125DP6010H,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:P14877CDX2 -> K1:125DP6010H; the two names denote one live page (Polyestradiol),high,NOT-LICENSED,rest,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Polyestradiol,,,,,
K1:125DP6010H,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:P14877CDX2 -> K1:125DP6010H; the two names denote one live page (Polyestradiol),high,NOT-LICENSED,rest,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Polyestradiol,,,,,
K1:276897E67U,K1:P2Y1C6M9PS,the evidence links the two pages but no rule in the spec's order decides them,separate,"R4y both are salts built on JVTAAEKCZFNVCJ; neither page is that parent moiety, and the parents differ (JVTAAEKCZFNVCJ-UHFFFAOYSA-N vs JVTAAEKCZFNVCJ-REOHCLBHSA-N); §3.1 merges a salt into its parent, and that parent is not either of these two pages",high,LICENSED-SEPARATE,rest,1,a separate verdict leaves both pages exactly as they are,K1:P2Y1C6M9PS,page_b,"Potassium LACTATE, DL-","Sodium LACTATE, L-",,structure_conflict,,remainder
K1:2H1PA8H1EN,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:3HP012Q0FH -> K1:2H1PA8H1EN; the two names denote one live page (Pegaptanib),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Pegaptanib,,,,,
K1:2H1PA8H1EN,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:3HP012Q0FH -> K1:2H1PA8H1EN; the two names denote one live page (Pegaptanib),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Pegaptanib,,,,,
K1:2URQ2N32W3,K1:P2Y1C6M9PS,the evidence links the two pages but no rule in the spec's order decides them,separate,"R4y both are salts built on JVTAAEKCZFNVCJ; neither page is that parent moiety, and the parents differ (JVTAAEKCZFNVCJ-UHFFFAOYSA-N vs JVTAAEKCZFNVCJ-REOHCLBHSA-N); §3.1 merges a salt into its parent, and that parent is not either of these two pages",high,LICENSED-SEPARATE,rest,1,a separate verdict leaves both pages exactly as they are,K1:P2Y1C6M9PS,page_b,Calcium Lactate,"Sodium LACTATE, L-",,structure_conflict,,remainder
K1:305OE8862Y,K2:PNMZQWKBJIQQJL-FAUHKOHMSA-N,the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,merge,R1 identical UNII 305OE8862Y; one page holds no structure of its own; §2 keys biologics and name-only records on UNII alone,high,NOT-LICENSED,rest,1,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",K2:PNMZQWKBJIQQJL-FAUHKOHMSA-N,page_b,Corticorelin,HUMAN CORTICOTROPIN RELEASING FACTOR,,same_unii; structure_conflict; moiety_match,,remainder
K1:32526637PN,K1:1RTM4PAL0V,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons LHJGJYXLEPZJPM vs GLUUGHFHXGJENI; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,1,a separate verdict leaves both pages exactly as they are,K1:1RTM4PAL0V,page_b,Piperazine,"2,4,5-TRICHLOROPHENOL",,structure_conflict,related_form_of,
K1:3KX376GY7L,K1:9BKY99A8HJ,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons WHUUTDBJXJRKMK vs GADGMZDHLQLZRI; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:9BKY99A8HJ,page_b,Glutamic acid,N-(P-AMINOBENZOYL)GLUTAMIC Acid,,structure_conflict,,remainder
K1:3U979E1001,K1:UT2BA2O3KN,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9a two separately registered FDA substances: Imciromab Pentetate ['3U979E1001'] and Imciromab ['UT2BA2O3KN'], preferred names IMCIROMAB PENTETATE and IMCIROMAB; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,rest,1,a separate verdict leaves both pages exactly as they are,K1:UT2BA2O3KN,page_b,Imciromab Pentetate,Imciromab,,,,remainder
K1:3Z252A2K9G,K1:66YXD4DKO9,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Almond Oil and Almond are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:66YXD4DKO9,page_b,Almond,Almond Oil,,,,remainder
K1:415SHH325A,K1:AB2MK88Y6D,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons UDMBCSSLTHHNCD vs RIRGCFBBHQEQQH; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,band,1,a separate verdict leaves both pages exactly as they are,K1:AB2MK88Y6D,page_b,Adenosine phosphate,"PIA, (S)-",,structure_conflict,,remainder
K1:4VBL71TY4Y,K1:65UEH262IS,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Safflower Oil and Safflower are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:65UEH262IS,page_b,Safflower,Safflower Oil,,,,remainder
K1:4XTQ10247Y,K1:L7T10EIP3A,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9a two separately registered FDA substances: CHERRY JUICE ['4XTQ10247Y'] and MENTHOL, Unspecified Form ['L7T10EIP3A'], preferred names CHERRY JUICE and MENTHOL, UNSPECIFIED FORM; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:L7T10EIP3A,page_b,CHERRY JUICE,"MENTHOL, Unspecified Form",,,,remainder
K1:5A9KE2L9L3,K1:5EVU04N5QU,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Orange Juice and Orange are different registered preparations of one organism (juice); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:5EVU04N5QU,page_b,Orange Juice,Orange,,,,remainder
K1:6VNO72PFC1,K1:SDS87L369F,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Avocado Oil and Avocado are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:SDS87L369F,page_b,Avocado Oil,Avocado,,,,remainder
K1:86117BWO7P,HOLD:existing:anhydrous-citric-acid,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R4a Calcium Citrate Anhydrous is Anhydrous Citric Acid (KRKNYBCHXYNGOX) plus counter-ions or solvate, but FDA records the active moiety of Calcium Citrate Anhydrous as CALCIUM CATION (2M83C4R6ZB), not Anhydrous Citric Acid; the counter-ion is the substance being recorded and the organic acid is its carrier",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,HOLD:existing:anhydrous-citric-acid,page_b,Anhydrous Citric Acid,Calcium Citrate Anhydrous,,structure_conflict,related_form_of,
K1:86117BWO7P,K1:XF417D3PSL,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R4a Calcium Citrate Anhydrous is Anhydrous Citric Acid (KRKNYBCHXYNGOX) plus counter-ions or solvate, but FDA records the active moiety of Calcium Citrate Anhydrous as CALCIUM CATION (2M83C4R6ZB), not Anhydrous Citric Acid; the counter-ion is the substance being recorded and the organic acid is its carrier",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:XF417D3PSL,page_b,Calcium Citrate Anhydrous,Anhydrous Citric Acid,,structure_conflict; moiety_match; fragment_match,related_form_of,remainder
K1:8620H6K4QH,K1:91XW058U2C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons WNTYBHLDCKXEOT vs VZCYOOQTPOCHFL; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,1,a separate verdict leaves both pages exactly as they are,K1:91XW058U2C,page_b,Acetophenazine,MALEIC ACID,,structure_conflict,related_form_of,remainder
K1:888Y08971B,K1:B035PIS86W,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons YRALAIOMGQZKOW vs HPNMFZURTQLUMO; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,1,a separate verdict leaves both pages exactly as they are,K1:B035PIS86W,page_b,Ceruletide,DIETHYLAMINE,,structure_conflict,related_form_of,remainder
K1:89243S03TE,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:00IBG87IQW -> K1:89243S03TE; the two names denote one live page (Sermorelin),high,NOT-LICENSED,rest,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Sermorelin,,,,,
K1:89243S03TE,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:00IBG87IQW -> K1:89243S03TE; the two names denote one live page (Sermorelin),high,NOT-LICENSED,rest,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Sermorelin,,,,,
K1:8GOM182CI3,K4:eurycoma longifolia,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Eurycoma Longifolia Whole and Eurycoma Longifolia are different registered preparations of one organism (whole); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,rest,1,a separate verdict leaves both pages exactly as they are,K4:eurycoma longifolia,page_b,Eurycoma Longifolia Whole,Eurycoma Longifolia,,,,remainder
K1:9BKY99A8HJ,K1:M0C2SP444T,the evidence links the two pages but no rule in the spec's order decides them,separate,R8s the two held structures settle it: different skeletons GADGMZDHLQLZRI vs WHUUTDBJXJRKMK; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:M0C2SP444T,page_b,N-(P-AMINOBENZOYL)GLUTAMIC Acid,GLUTAMIC ACID HYDROCHLORIDE,,structure_conflict,,remainder
K1:9M48M2SF02,K1:NDP0H8E844,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6a GSRS names Depreotide as the parent substance of TECHNETIUM TC 99M DEPREOTIDE, but it records the active moiety as TECHNETIUM TC-99M (6EW75241VU); the counter-ion is the substance being recorded",high,LICENSED-SEPARATE,rest,1,a separate verdict leaves both pages exactly as they are,K1:NDP0H8E844,page_b,TECHNETIUM TC 99M DEPREOTIDE,Depreotide,isotopologue,structure_conflict; moiety_match,related_form_of,remainder
K1:AB2794W8KV,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons MFOCDFTXLCYLKU vs FEWJPZIEWOKRBE; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,1,a separate verdict leaves both pages exactly as they are,K1:W4888I119H,page_b,Phendimetrazine,TARTARIC ACID,,structure_conflict,related_form_of,remainder
K1:AD4J2O47FQ,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:YQX12245A9 -> K1:AD4J2O47FQ; the two names denote one live page (Dasiglucagon),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Dasiglucagon,,,,,
K1:AD4J2O47FQ,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:YQX12245A9 -> K1:AD4J2O47FQ; the two names denote one live page (Dasiglucagon),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Dasiglucagon,,,,,
K1:CLY16Y8Z7E,K1:91XW058U2C,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons XZSMZRXAEFNJCU vs VZCYOOQTPOCHFL; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,1,a separate verdict leaves both pages exactly as they are,K1:91XW058U2C,page_b,MALEIC ACID,Carfenazine,,structure_conflict,related_form_of,
K1:DB7AK6G4U9,K2:XLXSAKCOAKORKW-AQJXLSMYSA-N,the evidence links the two pages but no rule in the spec's order decides them,merge,"R7y identical name '(10-GLYCINE)GONADORELIN' and only one page holds a structure, so nothing contradicts the shared name; UNIIs ['DB7AK6G4U9'] / ['2RG1XQ1NYJ'], substance classes ['protein'] / ['mixture']",medium,NOT-LICENSED,indexable,1,a merge at medium confidence,K2:XLXSAKCOAKORKW-AQJXLSMYSA-N,page_b,(10-GLYCINE)GONADORELIN,Gonadorelin,,,,remainder
K1:DUB5K84ELI,K4:bacopa monnieri,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Bacopa Monnieri Whole and Bacopa Monnieri are different registered preparations of one organism (whole); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,rest,1,a separate verdict leaves both pages exactly as they are,K4:bacopa monnieri,page_b,Bacopa Monnieri Whole,Bacopa Monnieri,,,,remainder
K1:HM5Z15LEBN,,"two pages collide on a display name and nothing recorded for them - substance class, primary target, stereo descriptor, UNII or structure - tells one from the other",separate,"R0b distinct substances sharing the normalised name 'potassium': Potassium Bicarbonate (TYJJADVDDVDEDZ-UHFFFAOYSA-M) against POTASSIUM CITRATE, POTASSIUM CITRATE ANHYDROUS, POTASSIUM GLUCONATE, POTASSIUM SALICYLATE; disambiguate on the display name, do not merge",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,,none recorded,Potassium Bicarbonate,,,,,
K1:JX56W9N61Q,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:44STI720CW -> K1:JX56W9N61Q; the two names denote one live page (Peginesatide),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Peginesatide,,,,,
K1:JX56W9N61Q,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:44STI720CW -> K1:JX56W9N61Q; the two names denote one live page (Peginesatide),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Peginesatide,,,,,
K1:K50N755924,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:X7D10K905G -> K1:K50N755924; the two names denote one live page (Colestipol),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Colestipol,,,,,
K1:K50N755924,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:X7D10K905G -> K1:K50N755924; the two names denote one live page (Colestipol),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Colestipol,,,,,
K1:LLM855Y3S3#gmod,K1:WKM56H3TLB,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",merge,R5 FDA active moiety: GSRS gives Bulevirtide (WKM56H3TLB) as the active moiety of Bulevirtide-Gmod,medium,NOT-LICENSED,indexable,1,a merge at medium confidence,K1:WKM56H3TLB,page_b,Bulevirtide-Gmod,Bulevirtide,,,related_form_of,remainder
K1:N02W67RKJS,K1:P28BIW0UTB,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",merge,R5 FDA active moiety: GSRS gives Mangafodipir (N02W67RKJS) as the active moiety of Fodipir,medium,NOT-LICENSED,rest,1,a merge at medium confidence,K1:P28BIW0UTB,page_b,Mangafodipir,Fodipir,,structure_conflict,related_form_of,remainder
K1:N0JZU0WGU5,K1:P28BIW0UTB,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6 the GSRS record on K1:N0JZU0WGU5 is a mixed salt whose active moiety is CALMANGAFODIPIR (N0JZU0WGU5); Fodipir is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high,LICENSED-SEPARATE,rest,1,a separate verdict leaves both pages exactly as they are,K1:P28BIW0UTB,page_b,CALMANGAFODIPIR,Fodipir,,structure_conflict; moiety_match,related_form_of,remainder
K1:N7T15V1FUY,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:9L64H0UE5Y -> K1:N7T15V1FUY; the two names denote one live page (Setmelanotide),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Setmelanotide,,,,,
K1:PR834Q503T,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons XCGSFFUVFURLIX vs FEWJPZIEWOKRBE; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:W4888I119H,page_b,Ergotamine,TARTARIC ACID,,structure_conflict,related_form_of,remainder
K1:QI7G114Y98,K3:CHEMBL2109056,the evidence links the two pages but no rule in the spec's order decides them,separate,"R9c ECHINACEA PURPUREA, POWDERED and Echinacea Purpurea are different registered preparations of one organism (powdered); §2 K4 merges only on exact name-family equality and these two families are not equal",medium,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K3:CHEMBL2109056,page_b,Echinacea Purpurea,"ECHINACEA PURPUREA, POWDERED",,,,remainder
K1:QK8899250F,K1:4E862E7GRQ,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R4x §1 the removed fragment is not a counter-ion: Ferric Pyrophosphate carries Fe that Pyrophosphoric Acid does not; shared organic fragment XPPKVPWEQAFLFU is the ligand, not the substance",high,LICENSED-SEPARATE,rest,1,a separate verdict leaves both pages exactly as they are,K1:4E862E7GRQ,page_b,Pyrophosphoric Acid,Ferric Pyrophosphate,metal complex,structure_conflict,related_form_of,
K1:QTL48N278K,K1:1RTM4PAL0V,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons JKKFKPJIXZFSSB vs GLUUGHFHXGJENI; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,1,a separate verdict leaves both pages exactly as they are,K1:1RTM4PAL0V,page_b,Piperazine,Estrone Sulfate,,structure_conflict,related_form_of,
K1:QX5LK7YCHV,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:3Z6W3S36X5 -> K1:QX5LK7YCHV; the two names denote one live page (Fomivirsen),high,NOT-LICENSED,rest,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Fomivirsen,,,,,
K1:QX5LK7YCHV,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:3Z6W3S36X5 -> K1:QX5LK7YCHV; the two names denote one live page (Fomivirsen),high,NOT-LICENSED,rest,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Fomivirsen,,,,,
K1:RLM74T3Z9D,K1:N78PI4C683,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R9a two separately registered FDA substances: Gadoversetamide ['RLM74T3Z9D'] and Versetamide ['N78PI4C683'], preferred names GADOVERSETAMIDE and VERSETAMIDE; neither is a salt, solvate or stereo form of the other by name or by structure",high,LICENSED-SEPARATE,rest,1,a separate verdict leaves both pages exactly as they are,K1:N78PI4C683,page_b,Versetamide,Gadoversetamide,,structure_conflict,related_form_of,
K1:RS7A450LGA,K4:trisodium,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",separate,"R9b 'Anhydrous Trisodium Citrate' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Anhydrous Trisodium",high,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K4:trisodium,page_b,Anhydrous Trisodium Citrate,Anhydrous Trisodium,,,,review
K1:ULL76WPU5X,K1:W4888I119H,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,R8s the two held structures settle it: different skeletons XSBSKEQEUFOSDD vs FEWJPZIEWOKRBE; a name rule does not overrule a structure comparison,high,LICENSED-SEPARATE,rest,1,a separate verdict leaves both pages exactly as they are,K1:W4888I119H,page_b,Pentolinium,TARTARIC ACID,,structure_conflict,related_form_of,remainder
K1:UVL329170W,K2:DCSUBABJRXZOMT-UHFFFAOYSA-N,a merge chain would join two pages that an exception class keeps separate; the whole chain is held for the second opinion,form_of,"R3 InChIKey skeleton DCSUBABJRXZOMT shared; DCSUBABJRXZOMT-IRLDBZIGSA-N vs DCSUBABJRXZOMT-UHFFFAOYSA-N; the records carry the same name (Cisapride / Cisapride) so the difference is the stereo or protonation layer alone. §3.2 links these, never merges",medium,LICENSED-FORM_OF,rest,1,"the two pages carry one InChIKey skeleton and different full keys, which §3.4 and §5.1 split and link",K2:DCSUBABJRXZOMT-UHFFFAOYSA-N,page_b,Cisapride,Cisapride,,same_skeleton_different_full,form_of; stereoisomer_of,form_of
K1:UVP74NG1C5,K4:ferric ammonium,"same normalised name; one page holds a structure and the other holds none, so no structural rule applies",separate,"R9b 'FERRIC AMMONIUM CITRATE' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Ferric Ammonium",high,LICENSED-SEPARATE,rest,1,a separate verdict leaves both pages exactly as they are,K4:ferric ammonium,page_b,FERRIC AMMONIUM CITRATE,Ferric Ammonium,,,,review
K1:V10579P3QZ,K2:BWWVAEOLVKTZFQ-ISVUSNJMSA-N,a merge chain would join two pages that an exception class keeps separate; the whole chain is held for the second opinion,form_of,"R3 InChIKey skeleton BWWVAEOLVKTZFQ shared; BWWVAEOLVKTZFQ-NTZNESFSSA-N vs BWWVAEOLVKTZFQ-ISVUSNJMSA-N; the records carry the same name (Amdinocillin / Mecillinam) so the difference is the stereo or protonation layer alone. §3.2 links these, never merges",medium,LICENSED-FORM_OF,rest,1,"the two pages carry one InChIKey skeleton and different full keys, which §3.4 and §5.1 split and link",K2:BWWVAEOLVKTZFQ-ISVUSNJMSA-N,page_b,Amdinocillin,Mecillinam,,same_unii; same_skeleton_different_full; moiety_match; fragment_match,form_of; stereoisomer_of,form_of
K1:VC855RRT77,K1:W2ZU1RY8B0,the evidence links the two pages but no rule in the spec's order decides them,separate,R9c Camellia Sinensis Leaf Oil and Camellia Sinensis Leaf are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium,LICENSED-SEPARATE,indexable,1,a separate verdict leaves both pages exactly as they are,K1:W2ZU1RY8B0,page_b,Camellia Sinensis Leaf Oil,Camellia Sinensis Leaf,,,,remainder
K1:VL0L558GCB,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:N3927D01PB -> K1:VL0L558GCB; the two names denote one live page (Ardeparin),high,NOT-LICENSED,rest,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Ardeparin,,,,,
K1:VL0L558GCB,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:N3927D01PB -> K1:VL0L558GCB; the two names denote one live page (Ardeparin),high,NOT-LICENSED,rest,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Ardeparin,,,,,
K1:WKM56H3TLB,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:LLM855Y3S3 -> K1:WKM56H3TLB; the two names denote one live page (Bulevirtide),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Bulevirtide,,,,,
K1:WKM56H3TLB,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:LLM855Y3S3 -> K1:WKM56H3TLB; the two names denote one live page (Bulevirtide),high,NOT-LICENSED,indexable,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Bulevirtide,,,,,
K1:YIW503MI7V,K1:632XD903SP,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",separate,"R6a GSRS names Gallic Acid as the parent substance of BISMUTH SUBGALLATE, but it records the active moiety as BISMUTH CATION (ZS9CD1I8YE); the counter-ion is the substance being recorded",high,LICENSED-SEPARATE,rest,1,a separate verdict leaves both pages exactly as they are,K1:632XD903SP,page_b,Gallic Acid,BISMUTH SUBGALLATE,,structure_conflict; moiety_match,related_form_of,
K1:Z67X93HJG1,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:WP15DXU577 -> K1:Z67X93HJG1; the two names denote one live page (Colistin),high,NOT-LICENSED,rest,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Colistin,,,,,
K1:Z67X93HJG1,,the named item no longer names two live corpus pages; an earlier identity pass already merged or dropped them,merge,R0 already-merged: corpus merge map records K1:WP15DXU577 -> K1:Z67X93HJG1; the two names denote one live page (Colistin),high,NOT-LICENSED,rest,1,"the row records a merge already in force from identity pass 2/3, not a decision to apply; the cited evidence is the corpus merge record, not one of the three licensed merge evidences",,none recorded,Colistin,,,,,
