page_a,page_b,resolved_page_b,name_a,name_b,reach,tier,second_verdict,confidence,recommended_default,licence_ground,first_pass_reason,second_evidence,corpus_confirms,existing_relations,duplicate_of_row
K3:CHEMBL5314650,K4:technetium tc 99m labeled carbon,K4:technetium tc 99m labeled carbon,TECHNETIUM TC-99M LABELED CARBON,Technetium Tc-99m Labeled Carbon,rest,2,merge,low,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at low confidence,same normalised name and no structure on either page; the identity rules give no evidence that decides them,"R7y identical name 'TECHNETIUM TC-99M LABELED CARBON' and no structure on either page; UNIIs none / none, substance classes [] / []",,,
HOLD:existing:pregnenolone,K1:73R90F7MQ8,K1:73R90F7MQ8,Pregnenolone,PREGNENOLONE,rest,3,form_of,high,the existing state — the two pages stay as they are and no relation is recorded,"§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1x §3.2 exception to the shared UNII 73R90F7MQ8: the structure on HOLD:existing:pregnenolone is GSRS PREGNENOLONE SUCCINATE (6LN4W6JJK6), one covalent molecule that adds succinate to PREGNENOLONE. An ester or acyl derivative is a distinct substance, so the pages split and link",same_unii; structure_conflict; moiety_match,,
K1:185M5I2ZZN,K1:4A5OM7PI18,K1:4A5OM7PI18,TOLEVAMER SODIUM,TOLEVAMER POTASSIUM SODIUM,rest,3,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,same normalised name and no structure on either page; the identity rules give no evidence that decides them,R7 §3.1/§3.1a salt or hydrate on the register's printed name: TOLEVAMER POTASSIUM SODIUM = TOLEVAMER SODIUM + potassium,,,
K1:DY02T48R2B,K1:LJ16641SFT,K1:LJ16641SFT,ETIRINOTECAN PEGOL TETRATRIFLUTATE,Etirinotecan pegol,rest,3,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge",R5 FDA active moiety: GSRS gives Etirinotecan pegol (LJ16641SFT) as the active moiety of ETIRINOTECAN PEGOL TETRATRIFLUTATE,moiety_match,related_form_of,
K1:E8FPK78470,K1:UC6I41G62N,K1:UC6I41G62N,"1,5-NAPHTHALENEDISULFONIC Acid",ACLATONIUM,rest,3,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at medium confidence,"an FDA salt/solvate relationship links the pages, but the child page is not a salt form of the parent by structure or by name, so §3.1 does not license a merge","R5 FDA active moiety: GSRS gives ACLATONIUM (UC6I41G62N) as the active moiety of 1,5-NAPHTHALENEDISULFONIC Acid",structure_conflict,related_form_of,
K1:EN8XKG133D,K2:HZQRATOABKBXJZ-STTLGUQMSA-N,K2:HZQRATOABKBXJZ-STTLGUQMSA-N,Nisin,NISIN,rest,3,merge,high,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed","§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,R1 identical UNII EN8XKG133D; one page holds no structure of its own; §2 keys biologics and name-only records on UNII alone,same_unii; structure_conflict; moiety_match,,
K1:RUU8G67GQM,K2:MLLNRQWNTKNRGQ-JXJCUFHPSA-N,K2:MLLNRQWNTKNRGQ-JXJCUFHPSA-N,Aescin,AESCIN,rest,3,merge,high,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed","§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,R1 identical UNII RUU8G67GQM; one page holds no structure of its own; §2 keys biologics and name-only records on UNII alone,same_unii; structure_conflict; moiety_match,,
K1:UXG268Q86R,K2:JSRSZGUKOAXAJV-MXAPAKLGSA-N,K2:JSRSZGUKOAXAJV-MXAPAKLGSA-N,Lenomorelin,Lenomorelin,rest,3,merge,high,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed","§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,R1 identical UNII UXG268Q86R; one page holds no structure of its own; §2 keys biologics and name-only records on UNII alone,same_unii; structure_conflict; moiety_match,,
K1:ZLT174DL7U,K2:RYEFFICCPKWYML-XZJHJRNISA-N,K2:RYEFFICCPKWYML-XZJHJRNISA-N,Picrotoxin,PICROTOXIN,rest,3,merge,high,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed","§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,R1 identical UNII ZLT174DL7U; one page holds no structure of its own; §2 keys biologics and name-only records on UNII alone,same_unii; structure_conflict; moiety_match,,
K2:FYQZGCBXYVWXSP-LCHZDSEPSA-N,K2:INENPLBOLCGOAH-RFNBFDFKSA-N,K2:INENPLBOLCGOAH-RFNBFDFKSA-N,Zinostatin,NEOCARZINOSTATIN,rest,3,merge,medium,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed","§2 holds a K1/K2 disagreement for a person and never resolves it by majority, so the second opinion alone does not license a change here",the two pages carry the same UNII but different connectivity skeletons; §2 holds a K1/K2 disagreement for a person,"R1 identical UNII PP082U6W1L, but the two held structures disagree (different skeletons FYQZGCBXYVWXSP vs INENPLBOLCGOAH); the registry identifier is the stronger evidence and the structure conflict needs a data fix",same_unii; structure_conflict; moiety_match; fragment_match,,
K3:CHEMBL2108492,K3:CHEMBL2108493,K3:CHEMBL2108493,Insulin zinc suspension (crystalline),Insulin zinc suspension (amorphous),rest,3,merge,low,"separate — the rules do not license this merge, and §1 keeps two pages until one is licensed",a merge at low confidence,the evidence links the two pages but no rule in the spec's order decides them,"R7y identical name 'Insulin zinc suspension (crystalline)' and no structure on either page; UNIIs none / none, substance classes [] / []",,,
K1:P188ANX8CK#oysk,K1:P188ANX8CK#zzxf,K1:P188ANX8CK#zzxf,Trastuzumab and Hyaluronidase-Oysk,"Pertuzumab, Trastuzumab, and Hyaluronidase-Zzxf",indexable,1,duplicate_hold,measured,"one page per product — the two records describe one product and the corpus keeps one page for it; until that is decided the page with fewer own facts is noindex,follow and links to the other","rendered duplicate check, docs/specs/phase4-generators.md §13 item 14",the rendered duplicate check measures these two pages at 0.5894 Jaccard after the §13 generator rules (reason class biosimilar),"own facts: trastuzumab-and-hyaluronidase-oysk 20, pertuzumab-trastuzumab-and-hyaluronidase-zzxf 21",,,
target/hdac8,target/histone-deacetylase-1-histone-deacetylase-1,target/histone-deacetylase-1-histone-deacetylase-1,HDAC8,Histone deacetylase 1,hub,,duplicate_hold,measured,"one group per member set — the two groups list nearly the same records and the corpus keeps one of them; until that is decided the group with the smaller member set is noindex,follow, leaves the hubs sitemap and links to the other","rendered duplicate check, docs/specs/phase4-generators.md §13 item 14",the rendered duplicate check measures these two groups at 0.5703 Jaccard after the §13 generator rules (reason class unclassified),"members: hdac8 19, histone-deacetylase-1-histone-deacetylase-1 30",,,
