page_a,page_b,verdict,evidence,confidence
K1:8620H6K4QH,K1:91XW058U2C,separate,R8s the two held structures settle it: different skeletons WNTYBHLDCKXEOT vs VZCYOOQTPOCHFL; a name rule does not overrule a structure comparison,high
K1:888Y08971B,K1:B035PIS86W,separate,R8s the two held structures settle it: different skeletons YRALAIOMGQZKOW vs HPNMFZURTQLUMO; a name rule does not overrule a structure comparison,high
K1:89243S03TE,,merge,R0 already-merged: corpus merge map records K1:00IBG87IQW -> K1:89243S03TE; the two names denote one live page (Sermorelin),high
K1:89243S03TE,,merge,R0 already-merged: corpus merge map records K1:00IBG87IQW -> K1:89243S03TE; the two names denote one live page (Sermorelin),high
K1:8GOM182CI3,K4:eurycoma longifolia,separate,R9c Eurycoma Longifolia Whole and Eurycoma Longifolia are different registered preparations of one organism (whole); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:9BKY99A8HJ,K1:M0C2SP444T,separate,R8s the two held structures settle it: different skeletons GADGMZDHLQLZRI vs WHUUTDBJXJRKMK; a name rule does not overrule a structure comparison,high
K1:9M48M2SF02,K1:NDP0H8E844,separate,"R6a GSRS names Depreotide as the parent substance of TECHNETIUM TC 99M DEPREOTIDE, but it records the active moiety as TECHNETIUM TC-99M (6EW75241VU); the counter-ion is the substance being recorded",high
K1:AB2794W8KV,K1:W4888I119H,separate,R8s the two held structures settle it: different skeletons MFOCDFTXLCYLKU vs FEWJPZIEWOKRBE; a name rule does not overrule a structure comparison,high
K1:AD4J2O47FQ,,merge,R0 already-merged: corpus merge map records K1:YQX12245A9 -> K1:AD4J2O47FQ; the two names denote one live page (Dasiglucagon),high
K1:AD4J2O47FQ,,merge,R0 already-merged: corpus merge map records K1:YQX12245A9 -> K1:AD4J2O47FQ; the two names denote one live page (Dasiglucagon),high
K1:CLY16Y8Z7E,K1:91XW058U2C,separate,R8s the two held structures settle it: different skeletons XZSMZRXAEFNJCU vs VZCYOOQTPOCHFL; a name rule does not overrule a structure comparison,high
K1:DB7AK6G4U9,K2:XLXSAKCOAKORKW-AQJXLSMYSA-N,merge,"R7y identical name '(10-GLYCINE)GONADORELIN' and only one page holds a structure, so nothing contradicts the shared name; UNIIs ['DB7AK6G4U9'] / ['2RG1XQ1NYJ'], substance classes ['protein'] / ['mixture']",medium
K1:DUB5K84ELI,K4:bacopa monnieri,separate,R9c Bacopa Monnieri Whole and Bacopa Monnieri are different registered preparations of one organism (whole); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:HM5Z15LEBN,,separate,"R0b distinct substances sharing the normalised name 'potassium': Potassium Bicarbonate (TYJJADVDDVDEDZ-UHFFFAOYSA-M) against POTASSIUM CITRATE, POTASSIUM CITRATE ANHYDROUS, POTASSIUM GLUCONATE, POTASSIUM SALICYLATE; disambiguate on the display name, do not merge",high
K1:JX56W9N61Q,,merge,R0 already-merged: corpus merge map records K1:44STI720CW -> K1:JX56W9N61Q; the two names denote one live page (Peginesatide),high
K1:JX56W9N61Q,,merge,R0 already-merged: corpus merge map records K1:44STI720CW -> K1:JX56W9N61Q; the two names denote one live page (Peginesatide),high
K1:K50N755924,,merge,R0 already-merged: corpus merge map records K1:X7D10K905G -> K1:K50N755924; the two names denote one live page (Colestipol),high
K1:K50N755924,,merge,R0 already-merged: corpus merge map records K1:X7D10K905G -> K1:K50N755924; the two names denote one live page (Colestipol),high
K1:LLM855Y3S3#gmod,K1:WKM56H3TLB,merge,R5 FDA active moiety: GSRS gives Bulevirtide (WKM56H3TLB) as the active moiety of Bulevirtide-Gmod,medium
K1:N02W67RKJS,K1:P28BIW0UTB,merge,R5 FDA active moiety: GSRS gives Mangafodipir (N02W67RKJS) as the active moiety of Fodipir,medium
K1:N0JZU0WGU5,K1:P28BIW0UTB,separate,"R6 the GSRS record on K1:N0JZU0WGU5 is a mixed salt whose active moiety is CALMANGAFODIPIR (N0JZU0WGU5); Fodipir is named only as its parent substance, which is the coformer or counter-ion, not the same substance",high
K1:N7T15V1FUY,,merge,R0 already-merged: corpus merge map records K1:9L64H0UE5Y -> K1:N7T15V1FUY; the two names denote one live page (Setmelanotide),high
K1:PR834Q503T,K1:W4888I119H,separate,R8s the two held structures settle it: different skeletons XCGSFFUVFURLIX vs FEWJPZIEWOKRBE; a name rule does not overrule a structure comparison,high
K1:QI7G114Y98,K3:CHEMBL2109056,separate,"R9c ECHINACEA PURPUREA, POWDERED and Echinacea Purpurea are different registered preparations of one organism (powdered); §2 K4 merges only on exact name-family equality and these two families are not equal",medium
K1:QK8899250F,K1:4E862E7GRQ,separate,"R4x §1 the removed fragment is not a counter-ion: Ferric Pyrophosphate carries Fe that Pyrophosphoric Acid does not; shared organic fragment XPPKVPWEQAFLFU is the ligand, not the substance",high
K1:QTL48N278K,K1:1RTM4PAL0V,separate,R8s the two held structures settle it: different skeletons JKKFKPJIXZFSSB vs GLUUGHFHXGJENI; a name rule does not overrule a structure comparison,high
K1:QX5LK7YCHV,,merge,R0 already-merged: corpus merge map records K1:3Z6W3S36X5 -> K1:QX5LK7YCHV; the two names denote one live page (Fomivirsen),high
K1:QX5LK7YCHV,,merge,R0 already-merged: corpus merge map records K1:3Z6W3S36X5 -> K1:QX5LK7YCHV; the two names denote one live page (Fomivirsen),high
K1:RLM74T3Z9D,K1:N78PI4C683,separate,"R9a two separately registered FDA substances: Gadoversetamide ['RLM74T3Z9D'] and Versetamide ['N78PI4C683'], preferred names GADOVERSETAMIDE and VERSETAMIDE; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:RS7A450LGA,K4:trisodium,separate,"R9b 'Anhydrous Trisodium Citrate' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Anhydrous Trisodium",high
K1:ULL76WPU5X,K1:W4888I119H,separate,R8s the two held structures settle it: different skeletons XSBSKEQEUFOSDD vs FEWJPZIEWOKRBE; a name rule does not overrule a structure comparison,high
K1:UVL329170W,K2:DCSUBABJRXZOMT-UHFFFAOYSA-N,form_of,"R3 InChIKey skeleton DCSUBABJRXZOMT shared; DCSUBABJRXZOMT-IRLDBZIGSA-N vs DCSUBABJRXZOMT-UHFFFAOYSA-N; the records carry the same name (Cisapride / Cisapride) so the difference is the stereo or protonation layer alone. §3.2 links these, never merges",medium
K1:UVP74NG1C5,K4:ferric ammonium,separate,"R9b 'FERRIC AMMONIUM CITRATE' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Ferric Ammonium",high
K1:V10579P3QZ,K2:BWWVAEOLVKTZFQ-ISVUSNJMSA-N,form_of,"R3 InChIKey skeleton BWWVAEOLVKTZFQ shared; BWWVAEOLVKTZFQ-NTZNESFSSA-N vs BWWVAEOLVKTZFQ-ISVUSNJMSA-N; the records carry the same name (Amdinocillin / Mecillinam) so the difference is the stereo or protonation layer alone. §3.2 links these, never merges",medium
K1:VC855RRT77,K1:W2ZU1RY8B0,separate,R9c Camellia Sinensis Leaf Oil and Camellia Sinensis Leaf are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:VL0L558GCB,,merge,R0 already-merged: corpus merge map records K1:N3927D01PB -> K1:VL0L558GCB; the two names denote one live page (Ardeparin),high
K1:VL0L558GCB,,merge,R0 already-merged: corpus merge map records K1:N3927D01PB -> K1:VL0L558GCB; the two names denote one live page (Ardeparin),high
K1:WKM56H3TLB,,merge,R0 already-merged: corpus merge map records K1:LLM855Y3S3 -> K1:WKM56H3TLB; the two names denote one live page (Bulevirtide),high
K1:WKM56H3TLB,,merge,R0 already-merged: corpus merge map records K1:LLM855Y3S3 -> K1:WKM56H3TLB; the two names denote one live page (Bulevirtide),high
K1:YIW503MI7V,K1:632XD903SP,separate,"R6a GSRS names Gallic Acid as the parent substance of BISMUTH SUBGALLATE, but it records the active moiety as BISMUTH CATION (ZS9CD1I8YE); the counter-ion is the substance being recorded",high
K1:Z67X93HJG1,,merge,R0 already-merged: corpus merge map records K1:WP15DXU577 -> K1:Z67X93HJG1; the two names denote one live page (Colistin),high
K1:Z67X93HJG1,,merge,R0 already-merged: corpus merge map records K1:WP15DXU577 -> K1:Z67X93HJG1; the two names denote one live page (Colistin),high
K2:BVPYARCRLTXGBD-UHFFFAOYSA-N,K4:trisodium,separate,"R9b 'Trisodium' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Anhydrous Trisodium",high
K2:JSQIKKVBLLHQSQ-AWJAZODESA-N,K2:PVHLMTREZMEJCG-GDTLVBQBSA-N,merge,"R1 identical UNII IJ3FUK8MOF, but the two held structures disagree (different skeletons JSQIKKVBLLHQSQ vs PVHLMTREZMEJCG); the registry identifier is the stronger evidence and the structure conflict needs a data fix",medium
K3:CHEMBL1201493,K4:simethicone cellulose,merge,"R7y identical name 'SIMETHICONE-CELLULOSE' and no structure on either page; UNIIs none / none, substance classes [] / []",low
K3:CHEMBL1201525,K4:technetium tc 99m polyphosphate kit,merge,"R7y identical name 'TECHNETIUM TC-99M POLYPHOSPHATE KIT' and no structure on either page; UNIIs none / none, substance classes [] / []",low
K3:CHEMBL1201537,K4:trolamine polypeptide oleate condensate,merge,"R7y identical name 'TROLAMINE POLYPEPTIDE OLEATE CONDENSATE' and no structure on either page; UNIIs none / none, substance classes [] / []",low
K3:CHEMBL1201652,K4:protein hydrolysate,merge,"R7y identical name 'PROTEIN HYDROLYSATE' and no structure on either page; UNIIs none / none, substance classes [] / []",low
K3:CHEMBL3707352,K4:policosanol,merge,"R7y identical name 'POLICOSANOL' and no structure on either page; UNIIs none / none, substance classes [] / []",low
"COMBO:{IK:DSFGXPJYDCSWTA-SECBINFHSA-N,K1:2679MF687A}","COMBO:{K1:2679MF687A,K1:TN1B5910V2}",form_of,RC the component sets differ only in the stereo form of one component: IK:DSFGXPJYDCSWTA-SECBINFHSA-N and K1:TN1B5910V2 share skeleton DSFGXPJYDCSWTA with different stereo,medium
"COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1,K1:WR2TIP26VS}","COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1}",separate,"RC different products under §3.7: COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1,K1:WR2TIP26VS} adds Abacavir, COMBO:{K1:2T8Q726O95,K1:DKO1W9H7M1} adds nothing",high
"COMBO:{K1:8GTS82S83M,K1:GE2UA340FM}","COMBO:{K1:8GTS82S83M,K1:M494UE2YEP}",separate,"RC different products under §3.7: COMBO:{K1:8GTS82S83M,K1:GE2UA340FM} adds 8-CHLOROTHEOPHYLLINE, COMBO:{K1:8GTS82S83M,K1:M494UE2YEP} adds ACEFYLLINE",high
HOLD:existing:alclometasone,K1:136H45TB7B,form_of,"R1x §3.2 exception to the shared UNII 136H45TB7B: the structure on HOLD:existing:alclometasone is GSRS Alclometasone dipropionate (S56PQL4N1V), one covalent molecule that adds dipropionate to ALCLOMETASONE. An ester or acyl derivative is a distinct substance, so the pages split and link",high
HOLD:existing:anhydrous-citric-acid,K1:2968PHW8QP,merge,"R1h identical UNII 2968PHW8QP; the structure on HOLD:existing:anhydrous-citric-acid is GSRS Anhydrous citric acid (XF417D3PSL), the same substance as Citric Acid with anhydrous on the name. §3.1 removes solvates and hydrates",high
HOLD:existing:anhydrous-citric-acid,K1:XF417D3PSL,merge,R2 identical full InChIKey: both hold InChIKey KRKNYBCHXYNGOX-UHFFFAOYSA-N,high
HOLD:existing:beclomethasone,K1:KGZ1SLC28Z,form_of,"R1x §3.2 exception to the shared UNII KGZ1SLC28Z: the structure on HOLD:existing:beclomethasone is GSRS BECLOMETHASONE DIPROPIONATE (5B307S63B2), one covalent molecule that adds dipropionate to Beclometasone. An ester or acyl derivative is a distinct substance, so the pages split and link",high
HOLD:existing:ethynodiol,K1:9E01C36A9S,form_of,"R1x §3.2 exception to the shared UNII 9E01C36A9S: the structure on HOLD:existing:ethynodiol is GSRS ETHYNODIOL DIACETATE (62H10A1236), one covalent molecule that adds diacetate to ETHYNODIOL. An ester or acyl derivative is a distinct substance, so the pages split and link",high
HOLD:existing:fludarabine,K1:P2K93U8740,form_of,"R1x §3.2 exception to the shared UNII P2K93U8740: the structure on HOLD:existing:fludarabine is GSRS FLUDARABINE PHOSPHATE (1X9VK9O1SC), one covalent molecule that adds phosphate to Fludarabine. An ester or acyl derivative is a distinct substance, so the pages split and link",high
HOLD:existing:fludrocortisone,K1:U0476M545B,form_of,"R1x §3.2 exception to the shared UNII U0476M545B: the structure on HOLD:existing:fludrocortisone is GSRS Fludrocortisone acetate (V47IF0PVH4), one covalent molecule that adds acetate to Fludrocortisone. An ester or acyl derivative is a distinct substance, so the pages split and link",high
HOLD:existing:fluphenazine,K1:S79426A41Z,form_of,"R1x §3.2 exception to the shared UNII S79426A41Z: the structure on HOLD:existing:fluphenazine is GSRS Fluphenazine enanthate (QSB34YF0W9), one covalent molecule that adds enanthate to Fluphenazine. An ester or acyl derivative is a distinct substance, so the pages split and link",high
HOLD:existing:lactitol,K1:L2B0WJF7ZY,separate,"R1z the structure on HOLD:existing:lactitol is GSRS .ALPHA.-LACTULOSE (9XH2P2N8EP), a substance neither page is named for; Lactitol (L2B0WJF7ZY) is a different substance and the shared UNII field on that page is wrong",high
HOLD:existing:potassium-citrate,,merge,R0b same full InChIKey inside the 'potassium' name group: HOLD:existing:potassium-citrate and K1:86R1NVR0HW both hold QEEAPRPFLLJWCF-UHFFFAOYSA-K,high
HOLD:existing:potassium-citrate,K1:86R1NVR0HW,merge,R2 identical full InChIKey: both hold InChIKey QEEAPRPFLLJWCF-UHFFFAOYSA-K,high
HOLD:existing:potassium-citrate,K1:EE90ONI6FF,merge,"R1h identical UNII EE90ONI6FF; the structure on HOLD:existing:potassium-citrate is GSRS POTASSIUM CITRATE ANHYDROUS (86R1NVR0HW), the same substance as POTASSIUM CITRATE with anhydrous on the name. §3.1 removes solvates and hydrates",high
HOLD:existing:voxilaprevir,K1:0570F37359,merge,"R1 identical UNII 0570F37359, but the two held structures disagree (different skeletons MKDALIOACIEUJM vs MZBLZLWXUBZHSL); the registry identifier is the stronger evidence and the structure conflict needs a data fix",medium
K1:01756N87N8,K1:F84709P2XV,separate,R9c Wormwood Oil and Wormwood are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:01G73H6H83,K1:06JI9W529S,separate,R9c Hops Oil and Hops are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:0309P36Q66,K1:91O4LML611,separate,R4z shared parent VTLYFUHAOXGGBS has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
K1:05456MVL7T,K1:W90AYD6R3Q,separate,R8s the two held structures settle it: different skeletons PZDJSXWIQXZUBJ vs HCWPIIXVSYCSAN; a name rule does not overrule a structure comparison,high
K1:05JZI7B19X,K1:Y3R0RA1Q8S,merge,R7 §3.1/§3.1a salt or hydrate on the register's printed name: Carboxymethylcellulose Sodium (0.7 Carboxymethyl Substitution Per SACCHARIDE; 600 MPA.S At 2%) = Carboxymethylcellulose + sodium,medium
K1:0DQI268449,K1:0WT12SX38S,separate,R8s the two held structures settle it: different skeletons CGQCWMIAEPEHNQ vs AEMRFAOFKBGASW; a name rule does not overrule a structure comparison,high
K1:0F5N573A2Y,K1:29I4YB3S89,separate,R8s the two held structures settle it: different skeletons RTZKZFJDLAIYFH vs BZLVMXJERCGZMT; a name rule does not overrule a structure comparison,high
K1:0GRZ0F5XJ6,,merge,R0 already-merged: corpus merge map records K1:WSP2DHR2BD -> K1:0GRZ0F5XJ6; the two names denote one live page (Eplontersen),high
K1:0GRZ0F5XJ6,,merge,R0 already-merged: corpus merge map records K1:WSP2DHR2BD -> K1:0GRZ0F5XJ6; the two names denote one live page (Eplontersen),high
K1:0I2XIN602U,K1:91O4LML611,separate,"R4w Ferric Cation appears only as a fragment of Ferric Chloride Hexahydrate, not as its parent moiety",high
K1:0IEO0F56LV,,merge,R0 already-merged: corpus merge map records K1:950736UC77 -> K1:0IEO0F56LV; the two names denote one live page (Inotersen),high
K1:0IEO0F56LV,,merge,R0 already-merged: corpus merge map records K1:950736UC77 -> K1:0IEO0F56LV; the two names denote one live page (Inotersen),high
K1:0LB9J2797D,K1:1FQ2RY5YHH,merge,R5 FDA active moiety: GSRS gives Patiromer (1FQ2RY5YHH) as the active moiety of Patiromer Sorbitex Calcium,medium
K1:0UV74P3R0J,K1:96P72VE680,separate,"R9a two separately registered FDA substances: Cerous Oxalate Nonahydrate ['0UV74P3R0J'] and CERIUM OXALATE ['96P72VE680'], preferred names CEROUS OXALATE NONAHYDRATE and CEROUS OXALATE; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:0UV74P3R0J,K1:9E7R5L6H31,separate,"R4a Cerous Oxalate Nonahydrate is Oxalic Acid (MUBZPKHOEPUJKR) plus counter-ions or solvate, but FDA records the active moiety of Cerous Oxalate Nonahydrate as CEROUS CATION (72Q4U60JWI), not Oxalic Acid; the counter-ion is the substance being recorded and the organic acid is its carrier",high
K1:0V6E9Q2I0Y,K1:IO46B19O1Q,separate,R8s the two held structures settle it: different skeletons QTBSBXVTEAMEQO vs AWYFNIZYMPNGAI; a name rule does not overrule a structure comparison,high
K1:0YIW783RG1,K1:XU8S3M2QRZ,separate,R8s the two held structures settle it: different skeletons BDAGIHXWWSANSR vs MANJIGKYCYWWBD; a name rule does not overrule a structure comparison,high
K1:0YPR65R21J,K1:22ADO53M6F,separate,R8s the two held structures settle it: different skeletons QAOWNCQODCNURD vs NBIIXXVUZAFLBC; a name rule does not overrule a structure comparison,high
K1:0YPR65R21J,K1:CI71S98N1Z,separate,R8s the two held structures settle it: different skeletons QAOWNCQODCNURD vs NBIIXXVUZAFLBC; a name rule does not overrule a structure comparison,high
K1:12H3K5QKN9,,separate,"R0b distinct substances sharing the normalised name 'potassium': POTASSIUM GLUCONATE (HLCFGWHYROZGBI-JJKGCWMISA-M) against POTASSIUM CITRATE, POTASSIUM CITRATE ANHYDROUS, POTASSIUM SALICYLATE, POTASSIUM SODIUM HYDROGEN CITRATE; disambiguate on the display name, do not merge",high
K1:12H3K5QKN9,K1:R4R8J0Q44B,separate,"R4a POTASSIUM GLUCONATE is Gluconic Acid (RGHNJXZEOKUKBD) plus counter-ions or solvate, but FDA records the active moiety of POTASSIUM GLUCONATE as POTASSIUM CATION (295O53K152), not Gluconic Acid; the counter-ion is the substance being recorded and the organic acid is its carrier",high
K1:13U9R5J3WL,,merge,R0 already-merged: corpus merge map records K1:EGR9KYM536 -> K1:13U9R5J3WL; the two names denote one live page (NEDOSIRAN),high
K1:13U9R5J3WL,,merge,R0 already-merged: corpus merge map records K1:EGR9KYM536 -> K1:13U9R5J3WL; the two names denote one live page (NEDOSIRAN),high
K1:1485XST65B,K1:RGL5YE86CZ,separate,R4z shared parent KRHYYFGTRYWZRS has 0 carbon atoms; an inorganic anion is not a moiety a drug page merges onto,high
K1:1699G8679Z,K1:HUI2S00793,separate,"R9a two separately registered FDA substances: Sodium Polystyrene Sulfonate ['1699G8679Z'] and CALCIUM POLYSTYRENE SULFONATE ['HUI2S00793'], preferred names SODIUM POLYSTYRENE SULFONATE and CALCIUM POLYSTYRENE SULFONATE; neither is a salt, solvate or stereo form of the other by name or by structure",high
K1:1AEY1M553N,K1:A4IWO4DDZ9,separate,R9c Mentha Arvensis Leaf Oil and Mentha Arvensis Leaf are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:1BJ477IO2L,K1:SMG09YI7I8,separate,"R9a two separately registered FDA substances: Gadobutrol ['1BJ477IO2L'] and Butrol ['SMG09YI7I8'], preferred names Gadobutrol and Butrol; neither is a salt, solvate or stereo form of the other by name or by structure (the shared UNII 1BJ477IO2L sits in a page unii field, not in either page key, and is the known Inxight join defect)",high
K1:1BQV3749L5,K4:stannous,separate,"R9b 'STANNOUS CHLORIDE' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Stannous",high
K1:1C4QK22F9J,,separate,"R0b distinct substances sharing the normalised name 'potassium': Potassium Iodide (NLKNQRATVPKPDG-UHFFFAOYSA-M) against POTASSIUM CITRATE, POTASSIUM CITRATE ANHYDROUS, POTASSIUM GLUCONATE, POTASSIUM SALICYLATE; disambiguate on the display name, do not merge",high
K1:1C4QK22F9J,K1:F5WR8N145C,separate,"R4y both are salts of XMBWDFGMSWQBCA; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high
K1:1FQ2RY5YHH,,merge,R0 already-merged: corpus merge map records K1:7T97I3787N -> K1:1FQ2RY5YHH; the two names denote one live page (Patiromer),high
K1:1HG84L3525,,merge,R0 already-merged: corpus merge map records K1:T0H3L6C7I5 -> K1:1HG84L3525; the two names denote one live page (Formaldehyde),high
K1:1HG84L3525,,merge,R0 already-merged: corpus merge map records K1:T0H3L6C7I5 -> K1:1HG84L3525; the two names denote one live page (Formaldehyde),high
K1:1K573LC5TV,,separate,"R0b distinct substances sharing the normalised name 'potassium': Potassium Sulfate (OTYBMLCTZGSZBG-UHFFFAOYSA-L) against POTASSIUM CITRATE, POTASSIUM CITRATE ANHYDROUS, POTASSIUM GLUCONATE, POTASSIUM SALICYLATE; disambiguate on the display name, do not merge",high
K1:1KC430K0ZN,K4:cupric,separate,"R9b 'Cupric Bromide' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Cupric",high
K1:1KC430K0ZN,K4:cupric ascorbate,separate,"R9b 'Cupric Bromide' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Cupric Ascorbate",high
K1:1OV56052IK,K1:7626GC95E5,separate,R9c Coriander Oil and Coriander are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:1ZPG1ELY14,K1:BIU7Q7W2SH,merge,R5 FDA active moiety: GSRS gives Rose Bengal Lactone (BIU7Q7W2SH) as the active moiety of Rose Bengal Potassium,medium
K1:21C2F5E8RE,K1:6Y89129C8H,separate,R9c ANISE OIL and Anise are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:22ADO53M6F,K4:dibasic,separate,"R9b 'Sodium Phosphate, Dibasic' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Anhydrous Dibasic",high
K1:23227F83U0,K1:30KYC7MIAI,separate,"R4w Aspartic acid appears only as a fragment of Lysine Aspartate, not as its parent moiety",high
K1:24K790T39B,K4:pulsatilla,separate,R9 no shared identifier and no structure pair to compare (Pulsatilla Montana Whole vs Pulsatilla); UNIIs ['24K790T39B'] vs none,low
K1:24RS0A988O,K1:AGN709ANTJ,separate,R9c Lemon Juice and Lemon are different registered preparations of one organism (juice); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:24RS0A988O,K1:I9GRO824LL,separate,R9c Lemon Oil and Lemon are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:2577AQ9262,K1:M911911U02,separate,R8s the two held structures settle it: different skeletons OVSKIKFHRZPJSS vs QTBSBXVTEAMEQO; a name rule does not overrule a structure comparison,high
K1:26SK597UWV,K1:R4R8J0Q44B,separate,"R4x §1 the removed fragment is not a counter-ion: Cobaltous Gluconate carries Co that Gluconic Acid does not; shared organic fragment RGHNJXZEOKUKBD is the ligand, not the substance",high
K1:27618J1N2X,K1:W4888I119H,separate,R8s the two held structures settle it: different skeletons JAQUASYNZVUNQP vs FEWJPZIEWOKRBE; a name rule does not overrule a structure comparison,high
K1:2788Z9758H,K1:M1F96IE0ZC,separate,R9c Glycyrrhiza Glabra Whole and Glycyrrhiza Glabra are different registered preparations of one organism (whole); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:2NVP93XVQ3,K1:53V4OQG6U1,separate,"R4y both are salts of OHORFAFFMDIQRR; neither page is that parent moiety; §3.1 merges a salt into its parent, and that parent is not either of these two pages",high
K1:2O4BE0K238,,merge,R0 already-merged: corpus merge map records K1:6JON30SLDT -> K1:2O4BE0K238; the two names denote one live page (Volanesorsen),high
K1:2R04ONI662,K1:S546YLW6E6,separate,R9c Eucalyptus Globulus Leaf Oil and Eucalyptus Globulus Leaf are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:2UA751211N,K1:91O4LML611,separate,"R5z FDA gives Ferric Cation (91O4LML611) as the active moiety of FERRIC HYDROXIDE, but §3.1a refuses a merge onto it: Ferric Cation reduces to VTLYFUHAOXGGBS with 1 heavy atoms and 0 carbons",high
K1:2UK410MY6B,K1:CW657OBU4N,separate,R9c Thyme Oil and Thyme are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:2URQ2N32W3,K1:3B8D35Y7S4,separate,"R4a Calcium Lactate is Lactic Acid, Dl (JVTAAEKCZFNVCJ) plus counter-ions or solvate, but FDA records the active moiety of Calcium Lactate as CALCIUM CATION (2M83C4R6ZB), not Lactic Acid, Dl; the counter-ion is the substance being recorded and the organic acid is its carrier",high
K1:33KM3X4QQW,HOLD:existing:anhydrous-citric-acid,separate,"R4x §1 the removed fragment is not a counter-ion: FERROUS CITRATE carries Fe that Anhydrous Citric Acid does not; shared organic fragment KRKNYBCHXYNGOX is the ligand, not the substance",high
K1:33KM3X4QQW,K1:XF417D3PSL,separate,"R4x §1 the removed fragment is not a counter-ion: FERROUS CITRATE carries Fe that Anhydrous Citric Acid does not; shared organic fragment KRKNYBCHXYNGOX is the ligand, not the substance",high
K1:33WDQ7T81E,K1:B0U42518WL,separate,"R9a two separately registered FDA substances: Dalbavancin Hydrochloride ['33WDQ7T81E'] and Dalbavancin B0 ['B0U42518WL'], preferred names Dalbavancin hydrochloride and Dalbavancin B0; neither is a salt, solvate or stereo form of the other by name or by structure (the shared UNII 33WDQ7T81E sits in a page unii field, not in either page key, and is the known Inxight join defect)",high
K1:355G9R500Y,K1:48N6U1781G,separate,R8s the two held structures settle it: different skeletons IPBVNPXQWQGGJP vs WLJVXDMOQOGPHL; a name rule does not overrule a structure comparison,high
K1:35C9R2N24F,K1:3HWS7HF5XD,separate,"R9b 'FERRIC SULFATE' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Enterobactin",high
K1:35C9R2N24F,K1:434C3EI07T,separate,"R9b 'FERRIC SODIUM CITRATE' names an element, a cation or an oxidation state, not a moiety; §3.1a refuses a merge between it and Enterobactin",high
K1:35C9R2N24F,K1:63G354M39Z,separate,R8s the two held structures settle it: different skeletons SERBHKJMVBATSJ vs KRKNYBCHXYNGOX; a name rule does not overrule a structure comparison,high
K1:35C9R2N24F,K1:9RDO128EH7,separate,R8s the two held structures settle it: different skeletons SERBHKJMVBATSJ vs CPELXLSAUQHCOX; a name rule does not overrule a structure comparison,high
K1:35C9R2N24F,K1:N6BAA189V1,separate,R8s the two held structures settle it: different skeletons SERBHKJMVBATSJ vs NBIIXXVUZAFLBC; a name rule does not overrule a structure comparison,high
K1:3641YW25N2,K1:X7X01WMQ5F,separate,R9c Sandalwood Oil and Sandalwood are different registered preparations of one organism (oil); §2 K4 merges only on exact name-family equality and these two families are not equal,medium
K1:3655633623,HOLD:existing:anhydrous-citric-acid,separate,"R4a LITHIUM CITRATE ANHYDROUS is Anhydrous Citric Acid (KRKNYBCHXYNGOX) plus counter-ions or solvate, but FDA records the active moiety of LITHIUM CITRATE ANHYDROUS as LITHIUM CATION (8H8Z5UER66), not Anhydrous Citric Acid; the counter-ion is the substance being recorded and the organic acid is its carrier",high
